               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,             0.04209,           0.0025564,           0.0020997,             0.61683,             0.47482,             0.49556,              0.2521,            0.041578,           0.0013243,           0.0016135,           0.0091833,           0.0091833,           0.0091833
                  35,            0.041861,           0.0025119,            0.002087,             0.61127,             0.47622,             0.50379,             0.25908,            0.041747,           0.0013303,           0.0015344,           0.0091585,           0.0091585,           0.0091585
                  36,            0.041539,           0.0025009,           0.0020595,             0.62518,             0.49376,             0.52231,             0.27191,            0.041324,           0.0013195,           0.0015438,           0.0091337,           0.0091337,           0.0091337
                  37,            0.041562,            0.002546,           0.0020323,             0.61812,             0.48694,             0.50092,             0.25672,            0.041576,           0.0013159,           0.0015249,            0.009109,            0.009109,            0.009109
                  38,            0.041435,           0.0025159,           0.0020499,             0.62058,             0.49566,             0.51569,             0.26675,            0.041214,           0.0013227,           0.0014939,           0.0090843,           0.0090843,           0.0090843
                  39,             0.04148,           0.0025424,           0.0019936,             0.63958,             0.48673,             0.51624,              0.2671,            0.041371,           0.0013084,           0.0015103,           0.0090595,           0.0090595,           0.0090595
                  40,            0.041106,           0.0025336,           0.0020105,              0.6385,             0.49134,              0.5212,             0.27539,            0.040921,           0.0013211,           0.0015109,           0.0090347,           0.0090347,           0.0090347
                  41,            0.041408,           0.0025165,           0.0019678,             0.67298,             0.50194,             0.52981,             0.27259,            0.041206,           0.0013072,            0.001471,             0.00901,             0.00901,             0.00901
                  42,              0.0413,           0.0024885,           0.0019544,             0.68329,             0.49237,             0.53681,             0.28076,            0.041043,           0.0013102,           0.0014503,           0.0089853,           0.0089853,           0.0089853
                  43,            0.040994,           0.0024936,           0.0019528,             0.63017,             0.49986,              0.5298,             0.27649,            0.040956,           0.0013102,           0.0014526,           0.0089605,           0.0089605,           0.0089605
                  44,             0.04102,           0.0025007,           0.0019732,             0.64373,             0.51048,             0.53623,             0.28384,            0.040932,           0.0013007,           0.0014602,           0.0089358,           0.0089358,           0.0089358
                  45,            0.040933,           0.0024916,           0.0019381,             0.66088,             0.51649,             0.54654,             0.28524,            0.040593,           0.0013003,           0.0014246,            0.008911,            0.008911,            0.008911
                  46,            0.040829,           0.0025194,           0.0019236,             0.66833,             0.51768,              0.5487,              0.2883,            0.040842,              0.0013,           0.0013712,           0.0088863,           0.0088863,           0.0088863
                  47,             0.04063,           0.0024921,           0.0019276,             0.66389,             0.51885,             0.54625,             0.28588,             0.04075,           0.0013001,           0.0013907,           0.0088615,           0.0088615,           0.0088615
                  48,            0.040741,           0.0024747,            0.001897,             0.66734,             0.51593,             0.54699,             0.29191,            0.040918,           0.0013032,           0.0013951,           0.0088368,           0.0088368,           0.0088368
                  49,            0.040752,           0.0024971,            0.001899,             0.65854,             0.51317,             0.55696,             0.29615,            0.040627,           0.0012985,              0.0014,            0.008812,            0.008812,            0.008812
                  50,            0.040671,           0.0025095,           0.0019366,             0.65576,             0.51646,              0.5546,             0.29369,            0.040462,           0.0013019,           0.0013854,           0.0087872,           0.0087872,           0.0087872
                  51,            0.040663,           0.0024803,           0.0019097,             0.66798,             0.50713,             0.55621,             0.29453,            0.040376,           0.0012899,           0.0013915,           0.0087625,           0.0087625,           0.0087625
                  52,            0.040096,           0.0024791,           0.0018476,             0.67741,             0.52258,             0.55779,              0.2939,            0.040275,           0.0012925,           0.0013961,           0.0087378,           0.0087378,           0.0087378
                  53,            0.040107,           0.0024908,           0.0018499,              0.6629,             0.51565,              0.5555,             0.29248,            0.040375,           0.0012991,           0.0013822,            0.008713,            0.008713,            0.008713
                  54,            0.040203,           0.0025077,           0.0018663,             0.68604,             0.51214,             0.55696,             0.29342,            0.040453,           0.0012901,           0.0013927,           0.0086882,           0.0086882,           0.0086882
                  55,            0.040148,           0.0024574,           0.0018648,             0.68271,             0.50584,             0.56068,             0.29726,            0.040347,           0.0012845,            0.001385,           0.0086635,           0.0086635,           0.0086635
                  56,            0.040055,           0.0024758,           0.0018394,             0.67189,             0.51835,             0.56185,             0.30129,            0.040426,           0.0012831,           0.0013615,           0.0086388,           0.0086388,           0.0086388
                  57,            0.039498,           0.0025092,           0.0017974,              0.6955,             0.52113,             0.57019,             0.30455,              0.0402,           0.0012854,           0.0013389,            0.008614,            0.008614,            0.008614
                  58,             0.03971,           0.0024899,           0.0018029,             0.67149,             0.52918,             0.56686,             0.30038,            0.040139,           0.0012852,           0.0013186,           0.0085893,           0.0085893,           0.0085893
                  59,            0.039714,           0.0024395,           0.0018045,             0.69091,             0.52943,             0.57538,             0.30871,            0.040378,           0.0012834,           0.0013051,           0.0085645,           0.0085645,           0.0085645
