               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.04218,           0.0025275,           0.0021216,             0.62028,             0.47226,             0.48858,             0.25334,            0.042111,           0.0013273,           0.0016206,           0.0091585,           0.0091585,           0.0091585
                  36,            0.041958,           0.0025128,            0.002117,             0.62171,             0.47667,             0.48806,             0.25328,            0.041905,           0.0013336,           0.0016219,           0.0091337,           0.0091337,           0.0091337
                  37,             0.04182,           0.0025572,           0.0020904,             0.60072,              0.4721,             0.50022,             0.25649,            0.041491,           0.0013265,           0.0015693,            0.009109,            0.009109,            0.009109
                  38,            0.041669,           0.0025223,           0.0020957,             0.62546,             0.47342,             0.49241,             0.25204,            0.041823,           0.0013339,            0.001546,           0.0090843,           0.0090843,           0.0090843
                  39,            0.041935,           0.0025582,           0.0020645,              0.6043,             0.47496,             0.51197,             0.26366,            0.041638,           0.0013209,             0.00153,           0.0090595,           0.0090595,           0.0090595
                  40,             0.04131,           0.0025415,           0.0020457,             0.62504,             0.50956,             0.51915,             0.27094,            0.041208,           0.0013168,           0.0015139,           0.0090347,           0.0090347,           0.0090347
                  41,            0.041639,           0.0025322,           0.0020153,             0.65877,             0.47183,             0.50267,             0.26192,            0.041306,           0.0013171,           0.0014932,             0.00901,             0.00901,             0.00901
                  42,            0.041286,           0.0025023,           0.0019751,             0.65374,             0.49155,             0.51547,             0.26773,            0.041382,           0.0013123,           0.0014945,           0.0089853,           0.0089853,           0.0089853
                  43,            0.041301,           0.0025102,           0.0020179,             0.63296,             0.48453,             0.52136,              0.2717,             0.04126,           0.0013167,           0.0014697,           0.0089605,           0.0089605,           0.0089605
                  44,             0.04118,           0.0025144,           0.0020066,             0.64831,             0.48739,             0.52004,             0.27455,            0.040987,           0.0013149,           0.0014676,           0.0089358,           0.0089358,           0.0089358
                  45,            0.041072,           0.0025058,           0.0019744,             0.63437,             0.49178,             0.51897,             0.27027,            0.041225,           0.0013158,           0.0014533,            0.008911,            0.008911,            0.008911
                  46,            0.041002,            0.002531,           0.0019528,             0.65297,             0.49923,             0.52372,             0.27625,            0.041192,           0.0013092,            0.001437,           0.0088863,           0.0088863,           0.0088863
                  47,            0.040624,           0.0025015,           0.0019687,             0.62962,             0.50607,              0.5402,             0.28267,            0.041355,           0.0013026,           0.0013913,           0.0088615,           0.0088615,           0.0088615
                  48,            0.040976,           0.0024842,           0.0019288,             0.64896,              0.4989,             0.53656,             0.28354,            0.041142,            0.001298,           0.0013677,           0.0088368,           0.0088368,           0.0088368
