               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.043211,           0.0025427,           0.0021981,             0.58172,             0.48969,             0.49245,             0.25599,            0.041731,           0.0013318,           0.0017131,           0.0091585,           0.0091585,           0.0091585
                  36,            0.042938,           0.0025389,           0.0021689,             0.60285,             0.49383,             0.50652,             0.26184,            0.041501,           0.0013377,           0.0016363,           0.0091337,           0.0091337,           0.0091337
                  37,            0.042931,           0.0025838,           0.0021394,              0.6388,             0.46266,             0.49486,             0.24971,            0.041982,           0.0013435,           0.0016068,            0.009109,            0.009109,            0.009109
                  38,            0.042783,           0.0025595,           0.0021711,             0.61627,              0.4774,             0.49733,             0.25483,             0.04194,           0.0013387,           0.0015939,           0.0090843,           0.0090843,           0.0090843
                  39,            0.043138,           0.0025854,           0.0021359,             0.61971,             0.50191,             0.50643,             0.26009,            0.041807,           0.0013283,           0.0015332,           0.0090595,           0.0090595,           0.0090595
                  40,            0.042582,           0.0025725,           0.0021418,             0.62402,             0.48755,             0.51591,             0.26108,             0.04152,           0.0013212,            0.001586,           0.0090347,           0.0090347,           0.0090347
                  41,            0.043036,            0.002575,           0.0021192,             0.65721,             0.47918,             0.52066,             0.27136,            0.041465,           0.0013144,           0.0015672,             0.00901,             0.00901,             0.00901
                  42,            0.042586,           0.0025359,           0.0020654,             0.65362,              0.4917,             0.52132,             0.26794,            0.041371,           0.0013168,           0.0015183,           0.0089853,           0.0089853,           0.0089853
                  43,            0.042698,           0.0025448,           0.0021191,             0.63219,             0.49605,             0.52589,             0.27094,            0.041304,           0.0013097,           0.0015393,           0.0089605,           0.0089605,           0.0089605
                  44,            0.042211,           0.0025345,           0.0020648,             0.65235,             0.51575,             0.54112,             0.28217,            0.040996,           0.0013096,           0.0015183,           0.0089358,           0.0089358,           0.0089358
